date,kfx
"2003-26",213.65000000000001
"2003-27",216.09
"2003-28",215.94999999999999
"2003-29",217.65000000000001
"2003-30",214.49000000000001
"2003-31",212.46000000000001
"2003-32",216.06999999999999
"2003-33",215.80000000000001
"2003-34",213.66
"2003-35",222.5
"2003-36",232.72
"2003-37",238.5
"2003-38",242.16
"2003-39",252.19999999999999
"2003-40",251.93000000000001
"2003-41",250.5
"2003-42",245.53
"2003-43",248.49000000000001
"2003-44",249.41999999999999
"2003-45",260.52999999999997
"2003-46",254.25
"2003-47",258.00999999999999
"2003-48",258.14999999999998
"2003-49",252.99000000000001
"2003-50",246.43000000000001
"2003-51",242.72
"2003-52",243.36000000000001
"2004-1",244.08000000000001
"2004-2",244.56999999999999
"2004-3",244.34999999999999
"2004-4",252.41
"2004-5",257.33999999999997
"2004-6",263.25999999999999
"2004-7",265.19
"2004-8",261.82999999999998
"2004-9",271.06
"2004-10",276.30000000000001
"2004-11",271.63999999999999
"2004-12",275.94
"2004-13",279.35000000000002
"2004-14",269.07999999999998
"2004-15",268.72000000000003
"2004-16",260.00999999999999
"2004-17",263.57999999999998
"2004-18",264.30000000000001
