YrM,ff,infl,inflex,caputil,capgap,unr,unrgap,bond
"1989-1",9.1199999999999992,4.3084378719999998,4.5194656750000002,85.099999999999994,5.9575620767493973,5.4000000000000004,-0.9882352941176471,9.0899999999999999
"1989-2",9.3599999999999994,4.4846532620000001,4.558252757,85.299999999999997,6.1575620767494001,5.2000000000000002,-1.1882352941176473,9.1699999999999999
"1989-3",9.8499999999999996,4.5055691969999998,4.4244117760000004,84.799999999999997,5.6575620767494001,5,-1.3882352941176475,9.3599999999999994
"1989-4",9.8399999999999999,4.6770942460000002,4.265927617,84.799999999999997,5.6575620767494001,5.2000000000000002,-1.1882352941176473,9.1799999999999997
"1989-5",9.8100000000000005,4.7490196490000001,4.2227804689999999,84.700000000000003,5.5575620767494058,5.2000000000000002,-1.1882352941176473,8.8599999999999994
"1989-6",9.5299999999999994,4.5395533769999998,4.0612435790000001,84,4.857562076749403,5.2999999999999998,-1.0882352941176476,8.2799999999999994
"1989-7",9.2400000000000002,4.2809012040000001,3.8965466580000001,83.799999999999997,4.6575620767494001,5.2000000000000002,-1.1882352941176473,8.0199999999999996
"1989-8",8.9900000000000002,3.9930140860000001,3.782708929,82.900000000000006,3.7575620767494087,5.2000000000000002,-1.1882352941176473,8.1099999999999994
"1989-9",9.0199999999999996,3.723517679,3.5864853669999999,83.5,4.357562076749403,5.2999999999999998,-1.0882352941176476,8.1899999999999995
"1989-10",8.8399999999999999,3.7946032120000002,3.5763728829999999,83,3.857562076749403,5.2999999999999998,-1.0882352941176476,8.0099999999999998
"1989-11",8.5500000000000007,3.7799726630000001,3.5683734669999998,82.700000000000003,3.5575620767494058,5.4000000000000004,-0.9882352941176471,7.8700000000000001
"1989-12",8.4499999999999993,3.7657648680000002,3.5318284320000002,82.799999999999997,3.6575620767494001,5.4000000000000004,-0.9882352941176471,7.8399999999999999
"1990-1",8.2300000000000004,4.0064327520000003,3.4106007690000002,83.099999999999994,3.9575620767493973,5.4000000000000004,-0.9882352941176471,8.2100000000000009
"1990-2",8.2400000000000002,4.1205050879999998,3.6474720340000002,82.400000000000006,3.2575620767494087,5.2999999999999998,-1.0882352941176476,8.4700000000000006
"1990-3",8.2799999999999994,4.1208033669999997,3.8231369609999999,83,3.857562076749403,5.2000000000000002,-1.1882352941176473,8.5899999999999999
"1990-4",8.2599999999999998,3.6787195260000001,3.799044753,83.200000000000003,4.0575620767494058,5.4000000000000004,-0.9882352941176471,8.7899999999999991
"1990-5",8.1799999999999997,3.5311835629999999,3.7953035420000001,83,3.857562076749403,5.4000000000000004,-0.9882352941176471,8.7599999999999998
"1990-6",8.2899999999999991,3.7577201310000001,3.923181799,82.900000000000006,3.7575620767494087,5.2000000000000002,-1.1882352941176473,8.4800000000000004
"1990-7",8.1500000000000004,3.764210592,3.9167071839999998,83,3.857562076749403,5.5,-0.88823529411764746,8.4700000000000006
"1990-8",8.1300000000000008,4.4225175910000001,4.2008785270000004,82.799999999999997,3.6575620767494001,5.7000000000000002,-0.68823529411764728,8.75
"1990-9",8.1999999999999993,4.8184908689999997,4.2143992959999999,82.900000000000006,3.7575620767494087,5.9000000000000004,-0.4882352941176471,8.8900000000000006
"1990-10",8.1099999999999994,4.9927074459999998,4.1850313650000004,82.900000000000006,3.7575620767494087,5.9000000000000004,-0.4882352941176471,8.7200000000000006
"1990-11",7.8099999999999996,4.8993285909999997,4.0361291079999999,82.099999999999994,2.9575620767493973,6.2000000000000002,-0.18823529411764728,8.3900000000000006
"1990-12",7.3099999999999996,4.6937819919999999,3.879853851,81.099999999999994,1.9575620767493973,6.2999999999999998,-0.088235294117647634,8.0800000000000001
"1991-1",6.9100000000000001,4.322780324,3.9961229720000002,80.400000000000006,1.2575620767494087,6.4000000000000004,0.011764705882352899,8.0899999999999999
"1991-2",6.25,3.9240997040000001,3.7763938110000002,80,0.85756207674940299,6.5999999999999996,0.21176470588235219,7.8499999999999996
"1991-3",6.1200000000000001,3.5745474750000001,3.510098749,79.299999999999997,0.15756207674940015,6.7999999999999998,0.41176470588235237,8.1099999999999994
"1991-4",5.9100000000000001,3.5351642320000001,3.3986872269999999,78.799999999999997,-0.34243792325059985,6.7000000000000002,0.31176470588235272,8.0399999999999991
"1991-5",5.7800000000000002,3.7323895739999999,3.5036692970000001,78.900000000000006,-0.24243792325059133,6.9000000000000004,0.5117647058823529,8.0700000000000003
"1991-6",5.9000000000000004,3.4607250330000001,3.3322766760000002,79.599999999999994,0.45756207674939731,6.9000000000000004,0.5117647058823529,8.2799999999999994
"1991-7",5.8200000000000003,3.385354118,3.3977834200000001,80.200000000000003,1.0575620767494058,6.7999999999999998,0.41176470588235237,8.2699999999999996
"1991-8",5.6600000000000001,2.9502808279999999,3.251866267,80.200000000000003,1.0575620767494058,6.9000000000000004,0.5117647058823529,7.9000000000000004
"1991-9",5.4500000000000002,2.6787445120000002,3.2951722960000001,80.200000000000003,1.0575620767494058,6.9000000000000004,0.5117647058823529,7.6500000000000004
"1991-10",5.21,2.2983886249999999,3.1796902990000002,80.799999999999997,1.6575620767494001,7,0.61176470588235254,7.5300000000000002
