,Date,AAPL,GOOG,MSFT
"2434-1",2014-04-22,75.959999999999994,534.80999999999995,39.990000000000002
"2435-1",2014-04-23,74.959999999999994,526.94000000000005,39.689999999999998
"2436-1",2014-04-24,81.109999999999999,525.15999999999997,39.859999999999999
"2437-1",2014-04-25,81.709999999999994,516.17999999999995,39.909999999999997
"2438-1",2014-04-28,84.870000000000005,517.14999999999998,40.869999999999997
"2439-1",2014-04-29,84.620000000000005,527.70000000000005,40.509999999999998
"2440-1",2014-04-30,84.299999999999997,526.65999999999997,40.399999999999999
"2441-1",2014-05-01,84.5,531.35000000000002,40
"2442-1",2014-05-02,84.650000000000006,527.92999999999995,39.689999999999998
"2443-1",2014-05-05,85.849999999999994,527.80999999999995,39.43
"2444-1",2014-05-06,84.920000000000002,515.13999999999999,39.060000000000002
"2445-1",2014-05-07,84.620000000000005,509.95999999999998,39.420000000000002
"2446-1",2014-05-08,84,511,39.640000000000001
"2447-1",2014-05-09,83.650000000000006,518.73000000000002,39.539999999999999
"2448-1",2014-05-12,84.689999999999998,529.91999999999996,39.969999999999999
"2449-1",2014-05-13,84.819999999999993,533.09000000000003,40.420000000000002
"2450-1",2014-05-14,84.840000000000003,526.64999999999998,40.240000000000002
"2451-1",2014-05-15,84.120000000000005,519.98000000000002,39.600000000000001
"2452-1",2014-05-16,85.359999999999999,520.63,39.829999999999998
"2453-1",2014-05-19,86.370000000000005,528.86000000000001,39.75
"2454-1",2014-05-20,86.390000000000001,529.76999999999998,39.68
"2455-1",2014-05-21,86.620000000000005,538.94000000000005,40.350000000000001
"2456-1",2014-05-22,86.75,545.05999999999995,40.100000000000001
"2457-1",2014-05-23,87.730000000000004,552.70000000000005,40.119999999999997
"2458-1",2014-05-27,89.379999999999995,565.95000000000005,40.189999999999998
"2459-1",2014-05-28,89.140000000000001,561.67999999999995,40.009999999999998
"2460-1",2014-05-29,90.769999999999996,560.08000000000004,40.340000000000003
"2461-1",2014-05-30,90.430000000000007,559.88999999999999,40.939999999999998
"2462-1",2014-06-02,89.810000000000002,553.92999999999995,40.789999999999999
"2463-1",2014-06-03,91.079999999999998,544.94000000000005,40.289999999999999
"2464-1",2014-06-04,92.120000000000005,544.65999999999997,40.32
"2465-1",2014-06-05,92.480000000000004,553.89999999999998,41.210000000000001
"2466-1",2014-06-06,92.219999999999999,556.33000000000004,41.479999999999997
"2467-1",2014-06-09,93.700000000000003,562.12,41.270000000000003
"2468-1",2014-06-10,94.25,560.54999999999995,41.109999999999999
"2469-1",2014-06-11,93.859999999999999,558.84000000000003,40.859999999999999
"2470-1",2014-06-12,92.290000000000006,551.35000000000002,40.579999999999998
"2471-1",2014-06-13,91.280000000000001,551.75999999999999,41.229999999999997
"2472-1",2014-06-16,92.200000000000003,544.27999999999997,41.5
"2473-1",2014-06-17,92.079999999999998,543.00999999999999,41.68
"2474-1",2014-06-18,92.180000000000007,553.37,41.649999999999999
"2475-1",2014-06-19,91.859999999999999,554.89999999999998,41.509999999999998
"2476-1",2014-06-20,90.909999999999997,556.36000000000001,41.68
"2477-1",2014-06-23,90.829999999999998,564.95000000000005,41.990000000000002
"2478-1",2014-06-24,90.280000000000001,564.62,41.740000000000002
"2479-1",2014-06-25,90.359999999999999,578.64999999999998,42.030000000000001
"2480-1",2014-06-26,90.900000000000006,576,41.719999999999999
